repository	commit	date	subject	subsystem	disposition	relevance reason
nodejs/node	1d2b89a2a063a2d5124816ea4adf8a2e298b20d1	2025-10-15T22:09:01+08:00	src: add a default branch for module phase	node-src	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	a520a39adfc5b8e9cdc1725d96516d16412a34a3	2025-09-15T17:59:44-03:00	2025-10-15, Version 25.0.0 (Current)	node-2025-10-15-version-25-0-0-current-	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e8fd0ee74ded1e2badd25401785b9d0ec0a660c9	2025-10-16T07:09:24+08:00	tools: add inspector_protocol updater	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	71f5b1cbf0540d1309d58ac181326e5b65f680c7	2025-10-16T16:17:53+08:00	doc: fix `blob.bytes()` heading level	buffer-memory	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	336b2d08e15c52f3f92bcc76aa55db9a81db5813	2025-10-17T15:54:57+10:30	doc: add --heap-snapshot-on-oom to useful v8 flag	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	39447be4e4e173bff3de5b864755d68e9182f748	2025-10-13T15:42:40+02:00	src: use `Utf8Value` and `TwoByteValue` instead of V8 helpers	buffer-memory	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e6d94ef106e08999e5461dabfeb333ff141f59fe	2025-10-13T15:44:30+02:00	tools: add C++ lint rule to avoid using `String::Utf8Value`	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	c2f3c2131deba8ee3732b697a54dda2b55434287	2025-10-17T06:22:19-04:00	src: initial enablement of IsolateGroups	v8-build-integration	detailed-candidate	Node isolate-group enablement can affect cage/isolate layout but has no direct Wasm EA fix. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	64bbb979decdbfffc3d88b26c1e2045a8e2ed6d8	2025-10-13T22:42:22+02:00	test: move sea tests into test/sea	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	9e8c7535f2331f767dd4ddc15abd99bf72a61cc5	2025-10-13T22:57:48+02:00	test: skip sea tests on x64 macOS	cpu-cage-build	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	875a7bb8d28e4079a8f8668e4962d32fb19a7c56	2025-10-17T14:33:45+02:00	tools: run CI with shared libs on GHA	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	8096aeab81a801d9a1bcda10fe354235ee556932	2025-10-17T15:14:11+02:00	doc: document wildcard supported by tools/test.py	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	d3f79aa65d828e7cd81e95381d1893117824fbd6	2025-10-17T22:15:17+02:00	assert: allow printf-style messages as assertion error	node-assert	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	8429d9a40b665e2a192d00b73a6a21d687f9b870	2025-10-18T00:40:23+02:00	test: make test-worker-prof more tolerant	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	70c04c7fd8630397a4062de1ca2e834fa2a5fad0	2025-10-18T00:40:34+02:00	test: parallelize test-without-async-context-frame correctly	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	355252c74923e7a5cef7c7e24f871dd7e2410348	2025-10-14T17:39:57+09:00	typings: delete undefined property in ConfigBinding	node-typings	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	2a18aee4aad2b69e9acefa8a75dea29fc7efb04e	2025-10-14T17:40:27+09:00	typings: add missing properties in HTTPParser	node-typings	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	86560880905cf11ea49a5dfb72505fe1ef856eaf	2025-10-14T17:40:54+09:00	typings: add missing properties and method in Worker	node-typings	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	c2d44174b2f38f15214c5e395b7a59b66824252c	2025-10-18T07:43:08+02:00	test: ignore EPIPE errors in https proxy invalid URL test	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	4d1dece375a2a982b93bac1c7d046ca6733bbcc4	2025-10-18T16:56:36+09:00	src: replace Environment::GetCurrent with args.GetIsolate	node-src	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	d695004e7afb78c386635ea2184967ee2ddeca5f	2025-10-18T10:07:38+02:00	tools: optimize wildcard execution in tools/test.py	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	8b52c89b00642d624a5472a0df139593ef82a239	2025-10-12T19:47:58+02:00	benchmark: add benchmark for leaf source text modules	node-benchmark	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	38bf955937b5a30f5bd59360c2b153647d4737e2	2025-10-10T20:20:09+02:00	vm: make vm.Module.evaluate() conditionally synchronous	node-vm	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	649d73a043f9da35c6d110d4d338b6883e42a080	2025-10-18T14:21:44+02:00	test: fix incorrect calculation in test-perf-hooks.js	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	382f7cfcefdab41352003cccce7581f5da1ad72b	2025-10-18T15:36:07+02:00	doc, assert: correct order of changes entries	node-doc-assert	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	70e7c1511ffd6dfbba2033028447eaf82b9ff23a	2025-10-18T21:29:35+02:00	util: mark special properties when inspecting them	node-util	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	481b9b11b3a96dfe9923baf6e4ef77895be951e4	2025-10-19T00:44:44+02:00	tools: fix inspector_protocol updater	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	bbd1fa5e2f7fa127e865ad84c389e3f4bc02d537	2025-10-19T13:34:28+05:00	doc: update decorator documentation to reflect actual policy	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	4b8603f910649f05f2d0e7b596991683ca438888	2025-10-19T19:43:18+09:00	src: use cached primordials_string	node-src	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	580bdbd0248ae8f8c267a83006bd70aca4b63131	2025-10-19T15:32:44+02:00	build: remove V8_COMPRESS_POINTERS_IN_ISOLATE_CAGE defs	v8-build-integration	detailed-candidate	Node build cleanup for obsolete pointer-compression-in-isolate-cage defines. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	da5df1dd0ae7025dc1f26918ee70273d89aea3a5	2025-10-19T16:20:09+02:00	test: split test-runner-watch-mode-kill-signal	node-test	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	48f3c8e4f2738883af1e956a61910c761eeb2a42	2025-10-19T16:31:15+02:00	meta: loop userland-migrations in deprecations	node-meta	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	3437e1c4bd529e51d96ea581b6435bbeb77ef524	2025-10-19T16:56:57+02:00	build: build v8 with -fvisibility=hidden -fvisibility-inlines-hidden	v8-build-integration	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	f25cce2805028db0529bf2894a96aa4f952ca5af	2025-10-19T19:39:54+02:00	test: fix status when compiled without inspector	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	9fbf0cbc60b4f7aab9d0f212d1571996b34d5800	2025-10-19T22:37:00+02:00	doc: use `any` for `worker_threads.Worker` 'error' event argument `err`	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	21da2050aba8d7c641132aeb3615d2161a99d65c	2025-10-20T00:49:11+02:00	tools: show diff alongside the error in Nix linter	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	6a0c9c8e3359700d836b90d8586ca42d733f5f7d	2025-10-19T17:57:02-05:00	meta: fix typo in test-shared workflow name	node-meta	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	cec1bd5498ff6dc70f1beaae42b5f43c89cf7860	2025-10-09T17:12:25+02:00	src: add watch config namespace	node-src	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	2fb82c8c281a5610a1d9afc8abaa49255147e1ea	2025-10-20T20:14:39+02:00	util: use more defensive code when inspecting error objects	node-util	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	5dd478c338dbc2f9ee1e185c25ff75ac8d169c5a	2025-10-20T19:30:41+01:00	meta: move one or more collaborators to emeritus	node-meta	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	b9dedf416b59b0059ab0062c540d0311e16a5f23	2025-10-19T00:30:38+02:00	2025-10-20, Version 22.21.0 'Jod' (LTS)	node-2025-10-20-version-22-21-0-jod-lts-	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	f1acefa9a9f3d34f058f0a3cd78ea464681296fe	2025-10-21T01:44:16+01:00	deps: update inspector_protocol to af7f5a8173fdbc29f0835ec94395932e328b	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	82fc81c26d4ccd462f5129970d8b2ac219326443	2025-10-21T01:44:25+01:00	deps: update corepack to 0.34.1	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	94cbb7758282bf5db837412f7cb3698f17ac1af3	2025-10-21T05:21:33-05:00	build: use call command when calling python configure	node-build	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	340e61990b9bf871d8a5e9b9337eaa337d3e9ddc	2025-10-21T19:45:46+02:00	tools: disable inspector on macOS-shared to reduce flakiness	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	a5f3cd8cb5ba9e7911d93c5fd3ebc6d781220dd8	2025-10-21T23:50:12+01:00	tools: limit inspector protocol PR title length	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	fe02cab92c0986a72c3dc5e817f647e04140f858	2025-10-22T08:38:18+02:00	msi: fix WiX warnings	node-msi	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	f46d501b7f4c6a8b838f472693596044d14a566f	2025-10-22T13:05:39+02:00	test_runner: use module.registerHooks in module mocks	node-test-runner	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	a59706f772ada0aefb1903bc183188c99b3388a7	2025-10-22T16:43:22+02:00	doc, module: change async customization hooks to experimental	node-doc-module	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	5c50445dfccb86e12c73da1f47933f37075ca4af	2025-10-22T23:16:32+08:00	test: fix small compile warning in test_network_requests_buffer.cc	buffer-memory	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	f0679db5549ec56b4de5f75afe6cf4f0077bc974	2025-10-22T16:16:45+01:00	tools: update gyp-next to 0.20.5	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	520d8277a86a22bee07b181e4db2c45ea33cf3d9	2025-10-23T02:43:07+08:00	doc: add missing CAA type to dns.resolveAny() & dnsPromises.resolveAny()	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	c2843b722ca161692c6848e19d375f35b7a08c60	2025-10-20T13:56:02+02:00	deps: update V8 to 14.2.231.9	v8-roll-or-backport	provenance-reviewed	Bundled-V8 roll or upstream backport/cherry-pick; retained for exact provenance. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	6380fbb5ee99fb9b6ccc553a6651f9e4ca3c743a	2025-10-20T13:56:03+02:00	build: reset embedder string to "-node.0"	v8-build-integration	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	91ab1101bcd22bac8542e8c680c35e627c52f5d0	2025-10-20T13:56:03+02:00	src: update NODE_MODULE_VERSION to 142	node-src	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	7bc0f245b4fc60174f4d53761ca566a9608ba4e4	2023-09-16T10:13:14+02:00	deps: patch V8 to avoid duplicated zlib symbol	v8-roll-or-backport	provenance-reviewed	Bundled-V8 roll or upstream backport/cherry-pick; retained for exact provenance. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	6e5f3b9fe1ffb47fb231d9288349a23efcefbb06	2024-12-16T11:11:22+01:00	deps: define V8_PRESERVE_MOST as no-op on Windows	bundled-v8	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	ea3d14eadbc90b2b0c48192efa8f51116948c999	2025-03-19T13:11:52+01:00	deps: remove problematic comment from v8-internal	bundled-v8	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	39eb88eaa8273de0ca21087cbbb0b35fd19d07c2	2025-04-28T03:39:11+02:00	deps: use std::map in MSVC STL for EphemeronRememberedSet	bundled-v8	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	46f72577a427e24f2d7d4fedf7c02c665dde2b9a	2025-04-16T10:03:49-04:00	deps: patch V8 for illumos	v8-roll-or-backport	provenance-reviewed	Bundled-V8 roll or upstream backport/cherry-pick; retained for exact provenance. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	710105bab5b8a369258b343f444d63058d39b79e	2025-08-07T10:14:08-04:00	deps: support madvise(3C) across ALL illumos revisions	bundled-v8	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	de8386de4d16f7f481b7c89e2b5138fd949dc53d	2025-10-01T18:59:23+02:00	deps: V8: cherry-pick f93055fbd5aa	v8-roll-or-backport	provenance-reviewed	Bundled-V8 roll or upstream backport/cherry-pick; retained for exact provenance. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	1acd8df36ff61f1fd1f92bdb9a2d2a646ec8d071	2025-10-07T16:28:34-05:00	deps: V8: backport fed47445bbdd	v8-roll-or-backport	provenance-reviewed	Bundled-V8 roll or upstream backport/cherry-pick; retained for exact provenance. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	f819aec288eacd8f0750793045bcbc37e22b5572	2025-10-20T10:22:14+01:00	deps: V8: cherry-pick ff34ae20c8e3	v8-roll-or-backport	provenance-reviewed	Bundled-V8 roll or upstream backport/cherry-pick; retained for exact provenance. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	b19525a33cc84033af4addd0f80acd4dc33ce0cf	2025-10-23T15:42:23+02:00	module: refactor and clarify async loader hook customizations	node-module	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	ddbe1365ffb5544908fac7e9f622b7344167e485	2025-10-23T10:38:22-04:00	util: reduce TextEncoder.encodeInto function size	node-util	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	a201250a56dd2fb22caeb640a6285fb5002d614a	2025-10-24T11:10:29+05:30	build: ibmi follow aix visibility	v8-build-integration	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	5bd2152b89e06ca3a7ac74bc3810b72c43b959e9	2025-10-24T15:27:18+09:00	doc: remove unnecessary statement of web storage	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	bfcf2f7a1592a42e1499d9416fb84d5d60f3adc0	2025-10-24T11:12:46+02:00	test: put helper in test-runner-output into common	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	62263572376cefa52761a7eb39fad4fcbfdbf37c	2025-10-24T15:13:13+02:00	tools: skip test-shared workflow for draft PRs	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	2bda7cbfb62778bd793fbceaa9a5a907c3d344be	2025-10-24T10:21:32-04:00	test: increase debugger waitFor timeout on macOS	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	a347d44ed93bea9e24ccbaaa7b4eb73d9ded0e73	2025-10-25T13:30:34+02:00	test,crypto: sha3 algorithms aren't supported with BoringSSL	node-test-crypto	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	9be412f93d08dac32c4c8a85d59fda06790ee0bf	2025-10-25T13:40:15+01:00	crypto: update root certificates to NSS 3.116	node-crypto	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	7bc76d98950a8d0532a008f61b6c2f5f9e58a8a9	2025-10-25T07:15:57-07:00	win: upgrade Visual Studio workload from 2019 to 2022	node-win	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	790489c5a96d8981e999a49eab297f46fd6d70ab	2025-10-25T17:13:30+02:00	test,crypto: fix conditional SHA3-* skip on BoringSSL	node-test-crypto	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	ba7cdf4a92736389095f68143c8192b3e73b3584	2025-10-25T20:44:28+02:00	test: ensure assertions are reachable in `test/addons`	buffer-memory	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	9bfff20df433ec9643a644f2eac3cd1d52b10b95	2025-10-26T08:27:57+01:00	src: conditionally disable source phase imports by default	node-src	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	a7d9c49490f4bd6de663abd70471e39848124afd	2025-10-26T10:08:56+01:00	doc: reserve NMV 143 for Electron 40	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	fb84f35fec81805349e856267e1a6e6ebe4f3a49	2025-10-26T17:29:49+01:00	tls: avoid external memory leak on invalid protocol versions	node-tls	retained-by-subject	Subject matched the compiler/Wasm/memory/trap/CPU screening vocabulary. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	27892ec461b2da401aca87c2a972e027a773006b	2025-10-26T19:24:02+01:00	test: skip failing test on macOS 15.7+	node-test	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	3c8c1efe1e7b13562d1da7d1b35f3c3fd6315165	2025-09-08T11:59:34+02:00	tools: add an option to generate lighter archives	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	b9de5d0cb6f645755d757ee028f79b48e79d84cf	2025-10-27T14:54:31+01:00	doc: mention more codemods in `deprecations.md`	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	f7ca0ae765356e1e7c097249b6c5fd5a124f7acd	2025-03-28T15:11:51+01:00	doc: remove Corepack documentation page	node-doc	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	1f2c9f82b70ada0b1e48c9842b9aea4ef86269fc	2025-10-27T15:01:06+01:00	http: lazy allocate cookies array	node-http	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	fd7b33e763e7dbad850573b20ad1dd5287acfa3c	2025-10-27T15:01:16+01:00	sqlite: allow setting defensive flag	node-sqlite	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	feac08e75041024bfb82ab9dcdf0b210c8492208	2025-10-27T23:10:27+09:00	benchmark: improve cpu.sh for safety and usability	cpu-cage-build	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	eea19fa03cccbd3c7f52b3a95970bd09875b4e4d	2025-10-27T14:14:05Z	deps: update simdjson to 4.0.7	node-deps	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	d9cf867a9dad11b5aca34b4dd59a061efa3667f0	2025-10-27T23:14:15+09:00	lib: fix typo in createBlobReaderStream	node-lib	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	617622211f38b802fe9082da59a5b2246bedf1ed	2025-10-27T15:20:25+01:00	tools: do not use short hashes for deps versioning to avoid collision	node-tools	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	4fe325d93de6eb58fcc74aee0e74ebdd1ea4e5b0	2025-10-27T12:23:34-07:00	stream: preserve AsyncLocalStorage on finished only when needed	node-stream	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	51a57f2b3629e733773f1b9ade70c8abcee5eb8c	2025-10-27T19:23:50-04:00	perf_hooks: move non-standard performance properties to perf_hooks	node-perf-hooks	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	cfbfc1b05080e7b46ae6c4ff89c2239d7c3eb7e0	2025-10-27T13:42:30+01:00	src: add COUNT_GENERIC_USAGE utility for tests	node-src	screened-out	No subject or changed-path match to the defined engine/runtime mechanisms. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	1f6b681bf2a49b8d45453b53e866caa557367a27	2025-10-27T13:43:09+01:00	src: fix timing of snapshot serialize callback	buffer-memory	retained-by-path	Changed a screened Node/V8 integration or memory-related path. Present only on the newer endpoint side of the symmetric tag comparison.
nodejs/node	e0ca993514df0f48e4a714d70fb79f713e0530d5	2025-10-28T02:17:53Z	deps: patch V8 to 14.2.231.14	v8-roll-or-backport	provenance-reviewed	Bundled-V8 roll or upstream backport/cherry-pick; retained for exact provenance. Present only on the newer endpoint side of the symmetric tag comparison.
